Seed	Iterations	Most_Frequent	Frequency
2371	48	9600	2
2372	22	0001	1
2373	76	4100	2
2374	62	4100	2
2375	20	6100	2
2376	64	4100	2
2377	61	6100	2
2378	37	4100	2
2379	80	4100	2
2380	10	2916	2
2381	47	6100	2
2382	10	0000	1
2383	13	0497	1
2384	47	0000	1
2385	86	4100	2
2386	37	0000	1
2387	80	4100	2
2388	28	6100	2
2389	25	0576	1
2390	43	6100	2
2391	75	4100	2
2392	31	0000	1
2393	33	4100	2
2394	35	0000	1
2395	13	0000	1
2396	28	6100	2
2397	50	6100	2
2398	6	6100	2
2399	12	2916	2
2400	1	7600	2
2401	38	4100	2
2402	30	4100	2
2403	83	6100	2
2404	20	0001	1
2405	9	0000	1
2406	48	9600	2
2407	7	1600	2
2408	28	4100	2
2409	38	6100	2
2410	22	4100	2
2411	61	6100	2
2412	12	8100	2
2413	58	4100	2
2414	27	6100	2
2415	16	9600	2
2416	38	0000	1
2417	93	6100	2
2418	6	6100	2
2419	57	3066	1
2420	76	4100	2
2421	35	4100	2
2422	26	9600	2
2423	81	6100	2
2424	48	4100	2
2425	85	6100	2
2426	94	4100	2
2427	18	0002	1
2428	32	0000	1
2429	1	0000	1
2430	82	4100	2
2431	37	9600	2
2432	21	4100	2
2433	30	0000	1
2434	54	4100	2
2435	87	6100	2
2436	41	0000	1
2437	4	2500	2
2438	6	0000	1
2439	3	0000	1
2440	76	6100	2
2441	47	6100	2
2442	69	4100	2
2443	67	6100	2
2444	49	6100	2
2445	49	3317	1
2446	56	6100	2
2447	44	9600	2
2448	49	9600	2
2449	14	3600	2
2450	2	0000	1
2451	4	0000	1
2452	49	9600	2
2453	89	6100	2
2454	50	6100	2
2455	90	4100	2
2456	28	9600	2
2457	19	6100	2
2458	55	9600	2
2459	70	6100	2
2460	54	4100	2
2461	30	9600	2
2462	54	6100	2
2463	66	9600	2
2464	50	6100	2
2465	26	6100	2
2466	54	6100	2
2467	66	4100	2
2468	56	6100	2
2469	79	4100	2
2470	10	0000	1
2471	26	0000	1
2472	51	6100	2
2473	53	0240	1
2474	94	4100	2
2475	29	6100	2
2476	33	4100	2
2477	33	3317	1
2478	61	9600	2
2479	92	4100	2
2480	70	4100	2
2481	55	9600	2
2482	26	0000	1
2483	28	6100	2
2484	45	6100	2
2485	66	9600	2
2486	43	0000	1
2487	58	4100	2
2488	24	6100	2
2489	20	4100	2
2490	4	0000	1
2491	47	4100	2
2492	4	2100	2
2493	8	5600	2
2494	6	5600	2
2495	43	6100	2
2496	6	4100	2
