Seed1	Seed2	Iterations	Most_Frequent	Frequency
3011	4811	17	3766	2
3011	4911	195	9181	2
3011	5011	11	9216	2
3011	5111	229	7687	2
3011	5211	16	3944	2
3011	5311	210	6271	2
3011	5411	69	1669	2
3011	5511	163	1903	2
3111	1111	185	0000	1
3111	1211	106	8873	2
3111	1311	120	0785	2
3111	1411	143	0210	2
3111	1511	126	7200	1
3111	1611	145	3472	2
3111	1711	123	8314	2
3111	1811	109	8489	2
3111	1911	9	0160	2
3111	2011	68	8360	2
3111	2111	9	7500	2
3111	2211	35	4214	2
3111	2311	152	8319	2
3111	2411	64	5118	2
3111	2511	67	7451	2
3111	2611	141	9504	2
3111	2711	296	5992	2
3111	2811	48	6325	2
3111	2911	143	4980	2
3111	3011	165	9264	2
3111	3111	216	5819	2
3111	3211	69	9162	2
3111	3311	137	2884	2
3111	3411	281	1532	2
3111	3511	62	9996	2
3111	3611	325	3998	2
3111	3711	184	0220	2
3111	3811	248	6848	2
3111	3911	101	4142	2
3111	4011	77	6537	2
3111	4111	70	6336	2
3111	4211	56	3749	2
3111	4311	6	4387	2
3111	4411	151	8380	2
3111	4511	18	8763	2
3111	4611	103	4619	2
3111	4711	229	8864	2
3111	4811	46	3894	2
3111	4911	300	3521	2
3111	5011	91	6103	2
3111	5111	137	9273	2
3111	5211	153	2500	1
3111	5311	46	6998	2
3111	5411	167	2273	2
3111	5511	168	0150	2
3211	1111	53	7019	2
3211	1211	77	1843	2
3211	1311	247	0703	2
3211	1411	101	7334	2
3211	1511	88	7527	2
3211	1611	50	0925	2
3211	1711	60	8980	2
3211	1811	55	2812	2
3211	1911	226	6596	2
3211	2011	83	1043	2
3211	2111	14	7500	2
3211	2211	143	9616	2
3211	2311	77	1901	2
3211	2411	139	4069	2
3211	2511	115	3000	1
3211	2611	49	7294	2
3211	2711	129	4446	2
3211	2811	258	5531	2
3211	2911	232	4989	2
3211	3011	136	7470	2
3211	3111	81	8068	2
3211	3211	67	1581	2
3211	3311	111	0845	2
3211	3411	64	2084	2
3211	3511	62	6442	2
3211	3611	71	1702	2
3211	3711	107	4807	2
3211	3811	9	4757	2
3211	3911	19	6250	2
3211	4011	24	6051	2
3211	4111	95	1572	2
3211	4211	51	2500	2
3211	4311	90	0813	2
3211	4411	156	0232	2
3211	4511	41	6537	2
3211	4611	215	0490	2
3211	4711	107	5860	1
3211	4811	92	0931	2
3211	4911	64	5749	2
3211	5011	119	4255	2
3211	5111	88	0451	2
3211	5211	201	2786	2
3211	5311	162	6914	2
3211	5411	80	0619	2
3211	5511	178	3849	2
3311	1111	55	0808	2
3311	1211	5	0000	1
3311	1311	64	4119	2
3311	1411	75	6545	2
3311	1511	120	5588	2
3311	1611	130	1597	2
3311	1711	155	8214	2
3311	1811	73	8465	2
3311	1911	149	0178	2
3311	2011	77	7135	2
3311	2111	97	3086	2
